y,x,bar,pub,ice_cream,charging_station,cinema,theatre,supermarket,church,mosque,synagogue,hotel,museum
30.0,-7.0,0,0,0,1,0,0,0,1,12,1,68,5
30.0,-6.0,0,0,0,0,0,0,0,0,6,0,34,1
30.0,-5.0,0,0,0,0,0,0,0,0,0,0,10,0
30.0,-4.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,-3.0,0,0,0,0,0,1,0,0,2,0,9,1
30.0,-2.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,2.0,0,0,1,0,0,1,0,1,4,0,9,4
30.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,9.0,0,0,0,0,0,0,0,0,0,0,4,0
30.0,10.0,0,0,0,0,0,0,0,0,1,0,1,0
30.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,13.0,0,0,0,0,0,0,0,0,1,0,0,0
30.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,15.0,0,1,0,0,0,0,0,0,0,0,0,0
30.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,18.0,0,0,0,0,1,0,0,0,0,0,1,0
30.0,19.0,0,0,0,0,0,0,0,0,0,0,1,0
30.0,20.0,0,0,0,1,0,1,0,0,16,0,6,2
30.0,21.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,24.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,28.0,0,0,0,0,0,0,0,0,0,0,7,1
30.0,29.0,0,0,0,0,0,0,0,0,2,0,4,0
30.0,30.0,1,0,0,0,3,16,0,6,4,0,7,0
30.0,31.0,36,22,5,2,30,18,0,8,66,0,136,39
30.0,32.0,1,1,0,0,0,0,0,0,5,0,5,3
30.0,33.0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,-12.0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,-11.0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,-10.0,8,1,1,0,0,0,1,2,8,0,90,2
31.0,-9.0,31,1,3,1,2,1,0,0,26,2,148,5
31.0,-8.0,17,1,0,0,5,3,0,0,41,0,325,26
31.0,-7.0,3,0,0,0,0,0,0,0,36,0,49,3
31.0,-6.0,0,0,0,0,0,0,0,0,5,0,108,5
31.0,-5.0,2,0,0,0,0,1,0,0,3,0,78,7
31.0,-4.0,0,0,0,0,0,0,0,0,0,0,43,0
31.0,-3.0,0,0,0,0,2,1,0,0,11,0,14,2
31.0,-2.0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,3.0,0,0,0,0,0,0,0,0,1,0,0,0
