y,x,value
56.4,11.8,0
56.4,12.0,0
56.4,12.2,0
56.4,12.4,1
56.4,12.6,1
56.4,12.8,0
56.6,8.0,0
56.6,8.2,9
56.6,8.4,4
56.6,8.6,2
56.6,8.8,5
56.6,9.0,3
56.6,9.2,1
56.6,9.4,2
56.6,9.6,3
56.6,9.8,6
56.6,10.0,4
56.6,10.2,0
56.6,10.4,0
56.6,10.6,0
56.6,10.8,0
56.6,11.0,0
56.6,11.2,0
56.6,11.4,1
56.6,11.6,0
56.6,11.8,0
56.6,12.0,0
56.6,12.2,0
56.6,12.4,0
56.6,12.6,3
56.6,12.8,3
56.8,8.0,0
56.8,8.2,5
56.8,8.4,1
56.8,8.6,2
56.8,8.8,2
56.8,9.0,4
56.8,9.2,2
56.8,9.4,3
56.8,9.6,0
56.8,9.8,4
56.8,10.0,1
56.8,10.2,4
56.8,10.4,0
56.8,10.6,0
56.8,10.8,0
56.8,11.0,0
56.8,11.2,0
56.8,11.4,0
56.8,11.6,0
56.8,11.8,0
56.8,12.0,0
56.8,12.2,1
56.8,12.4,2
56.8,12.6,2
56.8,12.8,0
57.0,8.0,0
57.0,8.2,0
57.0,8.4,1
57.0,8.6,1
57.0,8.8,1
57.0,9.0,3
57.0,9.2,2
57.0,9.4,1
57.0,9.6,0
57.0,9.8,9
57.0,10.0,1
57.0,10.2,2
57.0,10.4,1
57.0,10.6,0
57.0,10.8,0
57.0,11.0,0
57.0,11.2,0
57.0,11.4,0
57.0,11.6,0
57.0,11.8,0
57.0,12.0,0
57.0,12.2,3
57.0,12.4,3
57.0,12.6,0
57.0,12.8,1
57.2,8.0,0
57.2,8.2,0
57.2,8.4,0
57.2,8.6,0
57.2,8.8,0
57.2,9.0,0
57.2,9.2,0
57.2,9.4,0
57.2,9.6,5
57.2,9.8,2
57.2,10.0,0
57.2,10.2,2
57.2,10.4,2
57.2,10.6,0
57.2,10.8,1
57.2,11.0,5
57.2,11.2,0
57.2,11.4,0
57.2,11.6,0
57.2,11.8,0
57.2,12.0,0
57.2,12.2,0
57.2,12.4,0
57.2,12.6,0
57.2,12.8,1
57.4,8.0,0
57.4,8.2,0
57.4,8.4,0
57.4,8.6,0
57.4,8.8,0
57.4,9.0,0
57.4,9.2,0
57.4,9.4,0
57.4,9.6,1
57.4,9.8,8
57.4,10.0,3
57.4,10.2,1
