y,x,museums,hotels
56.0,11.0,0,0
56.0,11.2,0,0
56.0,11.4,0,0
56.0,11.6,0,0
56.0,11.8,0,0
56.0,12.0,0,3
56.0,12.2,5,4
56.0,12.4,8,5
56.0,12.6,16,22
56.0,12.8,1,2
56.2,8.0,3,1
56.2,8.2,4,1
56.2,8.4,0,0
56.2,8.6,5,2
56.2,8.8,1,0
56.2,9.0,1,2
56.2,9.2,2,2
56.2,9.4,1,1
56.2,9.6,3,3
56.2,9.8,1,1
56.2,10.0,1,2
56.2,10.2,1,1
56.2,10.4,1,1
56.2,10.6,1,4
56.2,10.8,0,2
56.2,11.0,0,0
56.2,11.2,0,0
56.2,11.4,0,0
56.2,11.6,0,0
56.2,11.8,0,0
56.2,12.0,0,0
56.2,12.2,0,0
56.2,12.4,4,6
56.2,12.6,0,1
56.2,12.8,8,6
56.4,8.0,3,0
56.4,8.2,4,3
56.4,8.4,3,1
56.4,8.6,2,1
56.4,8.8,2,0
56.4,9.0,3,3
56.4,9.2,2,0
56.4,9.4,5,5
56.4,9.6,0,0
56.4,9.8,0,0
56.4,10.0,3,3
56.4,10.2,4,0
56.4,10.4,1,0
56.4,10.6,2,0
56.4,10.8,3,5
56.4,11.0,0,0
56.4,11.2,0,0
56.4,11.4,0,0
56.4,11.6,0,0
56.4,11.8,0,0
56.4,12.0,0,0
56.4,12.2,0,0
56.4,12.4,1,0
56.4,12.6,1,1
56.4,12.8,0,3
56.6,8.0,0,1
56.6,8.2,9,5
56.6,8.4,4,2
56.6,8.6,2,0
56.6,8.8,5,3
56.6,9.0,3,1
56.6,9.2,1,0
56.6,9.4,2,3
56.6,9.6,3,0
56.6,9.8,6,3
56.6,10.0,4,3
56.6,10.2,0,1
56.6,10.4,0,0
56.6,10.6,0,0
56.6,10.8,0,0
56.6,11.0,0,0
56.6,11.2,0,0
56.6,11.4,1,1
56.6,11.6,0,0
56.6,11.8,0,0
56.6,12.0,0,0
56.6,12.2,0,0
56.6,12.4,0,0
56.6,12.6,3,2
56.6,12.8,3,9
56.8,8.0,0,0
56.8,8.2,5,3
56.8,8.4,1,1
56.8,8.6,2,5
56.8,8.8,2,0
56.8,9.0,4,3
56.8,9.2,2,2
56.8,9.4,3,1
56.8,9.6,0,1
56.8,9.8,4,3
56.8,10.0,1,1
56.8,10.2,4,2
56.8,10.4,0,0
56.8,10.6,0,0
56.8,10.8,0,0
56.8,11.0,0,0
56.8,11.2,0,0
56.8,11.4,0,0
56.8,11.6,0,0
56.8,11.8,0,0
56.8,12.0,0,0
56.8,12.2,1,0
56.8,12.4,2,6
56.8,12.6,2,0
56.8,12.8,0,0
57.0,8.0,0,0
57.0,8.2,0,0
57.0,8.4,1,2
57.0,8.6,1,2
57.0,8.8,1,1
57.0,9.0,3,0
57.0,9.2,2,5
57.0,9.4,1,2
57.0,9.6,0,4
57.0,9.8,9,16
57.0,10.0,1,2
57.0,10.2,2,1
57.0,10.4,1,0
57.0,10.6,0,0
57.0,10.8,0,0
57.0,11.0,0,0
57.0,11.2,0,0
57.0,11.4,0,0
57.0,11.6,0,0
57.0,11.8,0,0
57.0,12.0,0,0
57.0,12.2,3,10
57.0,12.4,3,2
57.0,12.6,0,2
57.0,12.8,1,0
57.2,8.0,0,0
57.2,8.2,0,0
57.2,8.4,0,0
57.2,8.6,0,0
57.2,8.8,0,0
57.2,9.0,0,0
57.2,9.2,0,0
57.2,9.4,0,1
57.2,9.6,5,6
57.2,9.8,2,2
57.2,10.0,0,1
57.2,10.2,2,1
57.2,10.4,2,1
57.2,10.6,0,0
57.2,10.8,1,3
57.2,11.0,5,5
57.2,11.2,0,0
57.2,11.4,0,0
57.2,11.6,0,0
57.2,11.8,0,0
57.2,12.0,0,1
57.2,12.2,0,0
57.2,12.4,0,0
57.2,12.6,0,0
57.2,12.8,1,0
57.4,8.0,0,0
57.4,8.2,0,0
57.4,8.4,0,0
57.4,8.6,0,0
57.4,8.8,0,0
57.4,9.0,0,0
57.4,9.2,0,0
57.4,9.4,0,0
57.4,9.6,1,1
57.4,9.8,8,10
57.4,10.0,3,2
57.4,10.2,1,1
57.4,10.4,4,9
57.4,10.6,0,0
57.4,10.8,0,0
57.4,11.0,0,0
57.4,11.2,0,0
57.4,11.4,0,0
57.4,11.6,0,0
57.4,11.8,1,1
57.4,12.0,1,2
57.4,12.2,1,0
57.4,12.4,0,0
57.4,12.6,1,1
57.4,12.8,0,0
57.6,8.0,0,0
57.6,8.2,0,0
57.6,8.4,0,0
57.6,8.6,0,0
57.6,8.8,0,0
57.6,9.0,0,0
57.6,9.2,0,0
57.6,9.4,0,0
57.6,9.6,0,0
57.6,9.8,0,0
57.6,10.0,0,0
57.6,10.2,1,1
57.6,10.4,8,16
57.6,10.6,3,0
